ts,service,region,rps
2026-01-27T17:38:00Z,orders-api,us-east,71.81
2026-01-27T17:39:00Z,orders-api,us-east,75.88
2026-01-27T17:40:00Z,orders-api,us-east,72.57
2026-01-27T17:41:00Z,orders-api,us-east,62.61
2026-01-27T17:42:00Z,orders-api,us-east,78.31
2026-01-27T17:43:00Z,orders-api,us-east,75.6
2026-01-27T17:44:00Z,orders-api,us-east,77.12
2026-01-27T17:45:00Z,orders-api,us-east,72.94
2026-01-27T17:46:00Z,orders-api,us-east,62.15
2026-01-27T17:47:00Z,orders-api,us-east,74.41
2026-01-27T17:48:00Z,orders-api,us-east,72.12
2026-01-27T17:49:00Z,orders-api,us-east,67.54
2026-01-27T17:50:00Z,orders-api,us-east,76.31
2026-01-27T17:51:00Z,orders-api,us-east,76.89
2026-01-27T17:52:00Z,orders-api,us-east,88.72
2026-01-27T17:53:00Z,orders-api,us-east,76.04
2026-01-27T17:54:00Z,orders-api,us-east,82.11
2026-01-27T17:55:00Z,orders-api,us-east,75.99
2026-01-27T17:56:00Z,orders-api,us-east,62.93
2026-01-27T17:57:00Z,orders-api,us-east,79.5
2026-01-27T17:58:00Z,orders-api,us-east,77.46
2026-01-27T17:59:00Z,orders-api,us-east,97.55
2026-01-27T18:00:00Z,orders-api,us-east,77.61
2026-01-27T18:01:00Z,orders-api,us-east,80.53
2026-01-27T18:02:00Z,orders-api,us-east,77.26
2026-01-27T18:03:00Z,orders-api,us-east,69.17
2026-01-27T18:04:00Z,orders-api,us-east,86.38
2026-01-27T18:05:00Z,orders-api,us-east,82.65
2026-01-27T18:06:00Z,orders-api,us-east,83.78
2026-01-27T18:07:00Z,orders-api,us-east,70.19
2026-01-27T18:08:00Z,orders-api,us-east,92.01
2026-01-27T18:09:00Z,orders-api,us-east,64.14
2026-01-27T18:10:00Z,orders-api,us-east,85.29
2026-01-27T18:11:00Z,orders-api,us-east,103.13
2026-01-27T18:12:00Z,orders-api,us-east,71.49
2026-01-27T18:13:00Z,orders-api,us-east,74.5
2026-01-27T18:14:00Z,orders-api,us-east,78.22
2026-01-27T18:15:00Z,orders-api,us-east,71.75
2026-01-27T18:16:00Z,orders-api,us-east,66.39
2026-01-27T18:17:00Z,orders-api,us-east,80.04
2026-01-27T18:18:00Z,orders-api,us-east,67.26
2026-01-27T18:19:00Z,orders-api,us-east,81.58
2026-01-27T18:20:00Z,orders-api,us-east,70.41
2026-01-27T18:21:00Z,orders-api,us-east,95.24
2026-01-27T18:22:00Z,orders-api,us-east,74.89
2026-01-27T18:23:00Z,orders-api,us-east,77.16
2026-01-27T18:24:00Z,orders-api,us-east,87.62
2026-01-27T18:25:00Z,orders-api,us-east,70.26
2026-01-27T18:26:00Z,orders-api,us-east,86.24
2026-01-27T18:27:00Z,orders-api,us-east,91.88
2026-01-27T18:28:00Z,orders-api,us-east,67.72
2026-01-27T18:29:00Z,orders-api,us-east,80.42
2026-01-27T18:30:00Z,orders-api,us-east,85.46
2026-01-27T18:31:00Z,orders-api,us-east,79.99
2026-01-27T18:32:00Z,orders-api,us-east,68.59
2026-01-27T18:33:00Z,orders-api,us-east,74.33
2026-01-27T18:34:00Z,orders-api,us-east,80.45
2026-01-27T18:35:00Z,orders-api,us-east,82.03
2026-01-27T18:36:00Z,orders-api,us-east,85.33
2026-01-27T18:37:00Z,orders-api,us-east,85.51
2026-01-27T18:38:00Z,orders-api,us-east,75.94
2026-01-27T18:39:00Z,orders-api,us-east,82.59
2026-01-27T18:40:00Z,orders-api,us-east,82.07
2026-01-27T18:41:00Z,orders-api,us-east,77.5
2026-01-27T18:42:00Z,orders-api,us-east,95.8
2026-01-27T18:43:00Z,orders-api,us-east,80.34
2026-01-27T18:44:00Z,orders-api,us-east,70.64
2026-01-27T18:45:00Z,orders-api,us-east,89.8
2026-01-27T18:46:00Z,orders-api,us-east,78.65
2026-01-27T18:47:00Z,orders-api,us-east,89.69
2026-01-27T18:48:00Z,orders-api,us-east,90.72
2026-01-27T18:49:00Z,orders-api,us-east,77.76
2026-01-27T18:50:00Z,orders-api,us-east,90.78
2026-01-27T18:51:00Z,orders-api,us-east,88.91
2026-01-27T18:52:00Z,orders-api,us-east,95.39
2026-01-27T18:53:00Z,orders-api,us-east,97.32
2026-01-27T18:54:00Z,orders-api,us-east,88.17
2026-01-27T18:55:00Z,orders-api,us-east,76.0
2026-01-27T18:56:00Z,orders-api,us-east,72.99
2026-01-27T18:57:00Z,orders-api,us-east,77.7
2026-01-27T18:58:00Z,orders-api,us-east,79.63
2026-01-27T18:59:00Z,orders-api,us-east,86.25
2026-01-27T19:00:00Z,orders-api,us-east,83.73
2026-01-27T19:01:00Z,orders-api,us-east,91.28
2026-01-27T19:02:00Z,orders-api,us-east,85.98
2026-01-27T19:03:00Z,orders-api,us-east,96.23
2026-01-27T19:04:00Z,orders-api,us-east,84.01
2026-01-27T19:05:00Z,orders-api,us-east,107.12
2026-01-27T19:06:00Z,orders-api,us-east,87.47
2026-01-27T19:07:00Z,orders-api,us-east,77.65
2026-01-27T19:08:00Z,orders-api,us-east,75.22
2026-01-27T19:09:00Z,orders-api,us-east,89.6
2026-01-27T19:10:00Z,orders-api,us-east,84.21
2026-01-27T19:11:00Z,orders-api,us-east,93.28
2026-01-27T19:12:00Z,orders-api,us-east,87.34
2026-01-27T19:13:00Z,orders-api,us-east,86.47
2026-01-27T19:14:00Z,orders-api,us-east,78.57
2026-01-27T19:15:00Z,orders-api,us-east,75.54
2026-01-27T19:16:00Z,orders-api,us-east,83.4
2026-01-27T19:17:00Z,orders-api,us-east,97.06
2026-01-27T19:18:00Z,orders-api,us-east,89.08
2026-01-27T19:19:00Z,orders-api,us-east,71.61
2026-01-27T19:20:00Z,orders-api,us-east,90.32
2026-01-27T19:21:00Z,orders-api,us-east,87.33
2026-01-27T19:22:00Z,orders-api,us-east,83.09
2026-01-27T19:23:00Z,orders-api,us-east,88.54
2026-01-27T19:24:00Z,orders-api,us-east,89.05
2026-01-27T19:25:00Z,orders-api,us-east,82.96
2026-01-27T19:26:00Z,orders-api,us-east,92.62
2026-01-27T19:27:00Z,orders-api,us-east,93.83
2026-01-27T19:28:00Z,orders-api,us-east,99.16
2026-01-27T19:29:00Z,orders-api,us-east,94.57
2026-01-27T19:30:00Z,orders-api,us-east,81.58
2026-01-27T19:31:00Z,orders-api,us-east,81.21
2026-01-27T19:32:00Z,orders-api,us-east,94.14
2026-01-27T19:33:00Z,orders-api,us-east,93.64
2026-01-27T19:34:00Z,orders-api,us-east,90.56
2026-01-27T19:35:00Z,orders-api,us-east,114.2
2026-01-27T19:36:00Z,orders-api,us-east,94.69
2026-01-27T19:37:00Z,orders-api,us-east,102.84
2026-01-27T19:38:00Z,orders-api,us-east,100.34
2026-01-27T19:39:00Z,orders-api,us-east,99.96
2026-01-27T19:40:00Z,orders-api,us-east,94.12
2026-01-27T19:41:00Z,orders-api,us-east,97.33
2026-01-27T19:42:00Z,orders-api,us-east,84.26
2026-01-27T19:43:00Z,orders-api,us-east,88.99
2026-01-27T19:44:00Z,orders-api,us-east,88.0
2026-01-27T19:45:00Z,orders-api,us-east,94.06
2026-01-27T19:46:00Z,orders-api,us-east,107.41
2026-01-27T19:47:00Z,orders-api,us-east,75.61
2026-01-27T19:48:00Z,orders-api,us-east,97.65
2026-01-27T19:49:00Z,orders-api,us-east,82.19
2026-01-27T19:50:00Z,orders-api,us-east,89.11
2026-01-27T19:51:00Z,orders-api,us-east,104.96
2026-01-27T19:52:00Z,orders-api,us-east,94.69
2026-01-27T19:53:00Z,orders-api,us-east,84.69
2026-01-27T19:54:00Z,orders-api,us-east,88.83
2026-01-27T19:55:00Z,orders-api,us-east,99.31
2026-01-27T19:56:00Z,orders-api,us-east,87.86
2026-01-27T19:57:00Z,orders-api,us-east,99.49
2026-01-27T19:58:00Z,orders-api,us-east,97.87
2026-01-27T19:59:00Z,orders-api,us-east,89.18
2026-01-27T20:00:00Z,orders-api,us-east,111.27
2026-01-27T20:01:00Z,orders-api,us-east,103.74
2026-01-27T20:02:00Z,orders-api,us-east,78.63
2026-01-27T20:03:00Z,orders-api,us-east,98.97
2026-01-27T20:04:00Z,orders-api,us-east,92.52
2026-01-27T20:05:00Z,orders-api,us-east,105.96
2026-01-27T20:06:00Z,orders-api,us-east,92.71
2026-01-27T20:07:00Z,orders-api,us-east,95.03
2026-01-27T20:08:00Z,orders-api,us-east,104.2
2026-01-27T20:09:00Z,orders-api,us-east,105.99
2026-01-27T20:10:00Z,orders-api,us-east,85.9
2026-01-27T20:11:00Z,orders-api,us-east,95.85
2026-01-27T20:12:00Z,orders-api,us-east,96.12
2026-01-27T20:13:00Z,orders-api,us-east,89.8
2026-01-27T20:14:00Z,orders-api,us-east,112.76
2026-01-27T20:15:00Z,orders-api,us-east,104.45
2026-01-27T20:16:00Z,orders-api,us-east,86.09
2026-01-27T20:17:00Z,orders-api,us-east,107.72
2026-01-27T20:18:00Z,orders-api,us-east,111.15
2026-01-27T20:19:00Z,orders-api,us-east,102.17
2026-01-27T20:20:00Z,orders-api,us-east,87.08
2026-01-27T20:21:00Z,orders-api,us-east,93.63
2026-01-27T20:22:00Z,orders-api,us-east,114.91
2026-01-27T20:23:00Z,orders-api,us-east,89.87
2026-01-27T20:24:00Z,orders-api,us-east,102.47
2026-01-27T20:25:00Z,orders-api,us-east,104.56
2026-01-27T20:26:00Z,orders-api,us-east,91.47
2026-01-27T20:27:00Z,orders-api,us-east,105.79
2026-01-27T20:28:00Z,orders-api,us-east,72.56
2026-01-27T20:29:00Z,orders-api,us-east,90.01
2026-01-27T20:30:00Z,orders-api,us-east,101.6
2026-01-27T20:31:00Z,orders-api,us-east,85.21
2026-01-27T20:32:00Z,orders-api,us-east,114.27
2026-01-27T20:33:00Z,orders-api,us-east,85.16
2026-01-27T20:34:00Z,orders-api,us-east,92.03
2026-01-27T20:35:00Z,orders-api,us-east,101.79
2026-01-27T20:36:00Z,orders-api,us-east,106.38
2026-01-27T20:37:00Z,orders-api,us-east,87.28
2026-01-27T20:38:00Z,orders-api,us-east,108.8
2026-01-27T20:39:00Z,orders-api,us-east,105.54
2026-01-27T20:40:00Z,orders-api,us-east,95.28
2026-01-27T20:41:00Z,orders-api,us-east,105.61
2026-01-27T20:42:00Z,orders-api,us-east,107.67
2026-01-27T20:43:00Z,orders-api,us-east,88.93
2026-01-27T20:44:00Z,orders-api,us-east,98.29
2026-01-27T20:45:00Z,orders-api,us-east,95.65
2026-01-27T20:46:00Z,orders-api,us-east,107.81
2026-01-27T20:47:00Z,orders-api,us-east,111.66
2026-01-27T20:48:00Z,orders-api,us-east,117.11
2026-01-27T20:49:00Z,orders-api,us-east,98.43
2026-01-27T20:50:00Z,orders-api,us-east,125.05
2026-01-27T20:51:00Z,orders-api,us-east,90.88
2026-01-27T20:52:00Z,orders-api,us-east,100.46
2026-01-27T20:53:00Z,orders-api,us-east,111.64
2026-01-27T20:54:00Z,orders-api,us-east,110.42
2026-01-27T20:55:00Z,orders-api,us-east,104.39
2026-01-27T20:56:00Z,orders-api,us-east,104.73
2026-01-27T20:57:00Z,orders-api,us-east,99.58
2026-01-27T20:58:00Z,orders-api,us-east,100.55
2026-01-27T20:59:00Z,orders-api,us-east,116.34
2026-01-27T21:00:00Z,orders-api,us-east,110.2
2026-01-27T21:01:00Z,orders-api,us-east,98.03
2026-01-27T21:02:00Z,orders-api,us-east,114.89
2026-01-27T21:03:00Z,orders-api,us-east,104.27
2026-01-27T21:04:00Z,orders-api,us-east,114.11
2026-01-27T21:05:00Z,orders-api,us-east,119.41
2026-01-27T21:06:00Z,orders-api,us-east,103.39
2026-01-27T21:07:00Z,orders-api,us-east,101.95
2026-01-27T21:08:00Z,orders-api,us-east,124.26
2026-01-27T21:09:00Z,orders-api,us-east,109.61
2026-01-27T21:10:00Z,orders-api,us-east,104.16
2026-01-27T21:11:00Z,orders-api,us-east,106.57
2026-01-27T21:12:00Z,orders-api,us-east,116.33
2026-01-27T21:13:00Z,orders-api,us-east,108.49
2026-01-27T21:14:00Z,orders-api,us-east,113.23
2026-01-27T21:15:00Z,orders-api,us-east,104.39
2026-01-27T21:16:00Z,orders-api,us-east,104.85
2026-01-27T21:17:00Z,orders-api,us-east,122.53
2026-01-27T21:18:00Z,orders-api,us-east,115.32
2026-01-27T21:19:00Z,orders-api,us-east,113.71
2026-01-27T21:20:00Z,orders-api,us-east,117.49
2026-01-27T21:21:00Z,orders-api,us-east,111.16
2026-01-27T21:22:00Z,orders-api,us-east,113.65
2026-01-27T21:23:00Z,orders-api,us-east,108.17
2026-01-27T21:24:00Z,orders-api,us-east,112.38
2026-01-27T21:25:00Z,orders-api,us-east,109.74
2026-01-27T21:26:00Z,orders-api,us-east,114.26
2026-01-27T21:27:00Z,orders-api,us-east,112.73
2026-01-27T21:28:00Z,orders-api,us-east,107.43
2026-01-27T21:29:00Z,orders-api,us-east,122.5
2026-01-27T21:30:00Z,orders-api,us-east,107.41
2026-01-27T21:31:00Z,orders-api,us-east,102.31
2026-01-27T21:32:00Z,orders-api,us-east,125.13
2026-01-27T21:33:00Z,orders-api,us-east,121.06
2026-01-27T21:34:00Z,orders-api,us-east,123.68
2026-01-27T21:35:00Z,orders-api,us-east,118.91
2026-01-27T21:36:00Z,orders-api,us-east,118.47
2026-01-27T21:37:00Z,orders-api,us-east,108.92
2026-01-27T21:38:00Z,orders-api,us-east,110.81
2026-01-27T21:39:00Z,orders-api,us-east,112.41
2026-01-27T21:40:00Z,orders-api,us-east,123.21
2026-01-27T21:41:00Z,orders-api,us-east,112.65
2026-01-27T21:42:00Z,orders-api,us-east,108.96
2026-01-27T21:43:00Z,orders-api,us-east,110.18
2026-01-27T21:44:00Z,orders-api,us-east,128.56
2026-01-27T21:45:00Z,orders-api,us-east,110.53
2026-01-27T21:46:00Z,orders-api,us-east,106.3
2026-01-27T21:47:00Z,orders-api,us-east,110.76
2026-01-27T21:48:00Z,orders-api,us-east,121.47
2026-01-27T21:49:00Z,orders-api,us-east,113.48
2026-01-27T21:50:00Z,orders-api,us-east,113.08
2026-01-27T21:51:00Z,orders-api,us-east,120.91
2026-01-27T21:52:00Z,orders-api,us-east,107.73
2026-01-27T21:53:00Z,orders-api,us-east,108.72
2026-01-27T21:54:00Z,orders-api,us-east,110.92
2026-01-27T21:55:00Z,orders-api,us-east,110.36
2026-01-27T21:56:00Z,orders-api,us-east,117.58
2026-01-27T21:57:00Z,orders-api,us-east,131.42
2026-01-27T21:58:00Z,orders-api,us-east,124.29
2026-01-27T21:59:00Z,orders-api,us-east,120.54
2026-01-27T22:00:00Z,orders-api,us-east,122.42
2026-01-27T22:01:00Z,orders-api,us-east,110.48
2026-01-27T22:02:00Z,orders-api,us-east,116.3
2026-01-27T22:03:00Z,orders-api,us-east,115.43
2026-01-27T22:04:00Z,orders-api,us-east,122.3
2026-01-27T22:05:00Z,orders-api,us-east,114.13
2026-01-27T22:06:00Z,orders-api,us-east,129.34
2026-01-27T22:07:00Z,orders-api,us-east,133.68
2026-01-27T22:08:00Z,orders-api,us-east,120.12
2026-01-27T22:09:00Z,orders-api,us-east,117.55
2026-01-27T22:10:00Z,orders-api,us-east,129.55
2026-01-27T22:11:00Z,orders-api,us-east,117.4
2026-01-27T22:12:00Z,orders-api,us-east,116.63
2026-01-27T22:13:00Z,orders-api,us-east,113.83
2026-01-27T22:14:00Z,orders-api,us-east,120.94
2026-01-27T22:15:00Z,orders-api,us-east,118.15
2026-01-27T22:16:00Z,orders-api,us-east,117.66
2026-01-27T22:17:00Z,orders-api,us-east,126.14
2026-01-27T22:18:00Z,orders-api,us-east,127.69
2026-01-27T22:19:00Z,orders-api,us-east,127.96
2026-01-27T22:20:00Z,orders-api,us-east,136.55
2026-01-27T22:21:00Z,orders-api,us-east,114.15
2026-01-27T22:22:00Z,orders-api,us-east,133.39
2026-01-27T22:23:00Z,orders-api,us-east,124.07
2026-01-27T22:24:00Z,orders-api,us-east,143.91
2026-01-27T22:25:00Z,orders-api,us-east,118.68
2026-01-27T22:26:00Z,orders-api,us-east,118.95
2026-01-27T22:27:00Z,orders-api,us-east,118.28
2026-01-27T22:28:00Z,orders-api,us-east,108.68
2026-01-27T22:29:00Z,orders-api,us-east,120.43
2026-01-27T22:30:00Z,orders-api,us-east,117.71
2026-01-27T22:31:00Z,orders-api,us-east,136.13
2026-01-27T22:32:00Z,orders-api,us-east,127.44
2026-01-27T22:33:00Z,orders-api,us-east,143.52
2026-01-27T22:34:00Z,orders-api,us-east,132.74
2026-01-27T22:35:00Z,orders-api,us-east,127.47
2026-01-27T22:36:00Z,orders-api,us-east,115.82
2026-01-27T22:37:00Z,orders-api,us-east,134.13
2026-01-27T22:38:00Z,orders-api,us-east,110.1
2026-01-27T22:39:00Z,orders-api,us-east,137.11
2026-01-27T22:40:00Z,orders-api,us-east,139.68
2026-01-27T22:41:00Z,orders-api,us-east,125.63
2026-01-27T22:42:00Z,orders-api,us-east,110.48
2026-01-27T22:43:00Z,orders-api,us-east,136.86
2026-01-27T22:44:00Z,orders-api,us-east,130.97
2026-01-27T22:45:00Z,orders-api,us-east,143.88
2026-01-27T22:46:00Z,orders-api,us-east,116.94
2026-01-27T22:47:00Z,orders-api,us-east,122.91
2026-01-27T22:48:00Z,orders-api,us-east,133.06
2026-01-27T22:49:00Z,orders-api,us-east,127.39
2026-01-27T22:50:00Z,orders-api,us-east,124.08
2026-01-27T22:51:00Z,orders-api,us-east,131.59
2026-01-27T22:52:00Z,orders-api,us-east,116.01
2026-01-27T22:53:00Z,orders-api,us-east,131.0
2026-01-27T22:54:00Z,orders-api,us-east,131.2
2026-01-27T22:55:00Z,orders-api,us-east,136.63
2026-01-27T22:56:00Z,orders-api,us-east,137.88
2026-01-27T22:57:00Z,orders-api,us-east,127.65
2026-01-27T22:58:00Z,orders-api,us-east,122.84
2026-01-27T22:59:00Z,orders-api,us-east,139.73
2026-01-27T23:00:00Z,orders-api,us-east,133.64
2026-01-27T23:01:00Z,orders-api,us-east,124.04
2026-01-27T23:02:00Z,orders-api,us-east,143.53
2026-01-27T23:03:00Z,orders-api,us-east,134.55
2026-01-27T23:04:00Z,orders-api,us-east,144.32
2026-01-27T23:05:00Z,orders-api,us-east,138.16
2026-01-27T23:06:00Z,orders-api,us-east,155.0
2026-01-27T23:07:00Z,orders-api,us-east,146.53
2026-01-27T23:08:00Z,orders-api,us-east,128.11
2026-01-27T23:09:00Z,orders-api,us-east,141.88
2026-01-27T23:10:00Z,orders-api,us-east,136.32
2026-01-27T23:11:00Z,orders-api,us-east,147.64
2026-01-27T23:12:00Z,orders-api,us-east,130.68
2026-01-27T23:13:00Z,orders-api,us-east,141.87
2026-01-27T23:14:00Z,orders-api,us-east,143.42
2026-01-27T23:15:00Z,orders-api,us-east,122.27
2026-01-27T23:16:00Z,orders-api,us-east,124.23
2026-01-27T23:17:00Z,orders-api,us-east,115.63
2026-01-27T23:18:00Z,orders-api,us-east,134.35
2026-01-27T23:19:00Z,orders-api,us-east,146.4
2026-01-27T23:20:00Z,orders-api,us-east,145.18
2026-01-27T23:21:00Z,orders-api,us-east,134.68
2026-01-27T23:22:00Z,orders-api,us-east,152.52
2026-01-27T23:23:00Z,orders-api,us-east,124.53
2026-01-27T23:24:00Z,orders-api,us-east,122.19
2026-01-27T23:25:00Z,orders-api,us-east,133.1
2026-01-27T23:26:00Z,orders-api,us-east,141.66
2026-01-27T23:27:00Z,orders-api,us-east,135.85
2026-01-27T23:28:00Z,orders-api,us-east,115.13
2026-01-27T23:29:00Z,orders-api,us-east,138.68
2026-01-27T23:30:00Z,orders-api,us-east,129.62
2026-01-27T23:31:00Z,orders-api,us-east,141.74
2026-01-27T23:32:00Z,orders-api,us-east,144.43
2026-01-27T23:33:00Z,orders-api,us-east,125.52
2026-01-27T23:34:00Z,orders-api,us-east,130.32
2026-01-27T23:35:00Z,orders-api,us-east,128.0
2026-01-27T23:36:00Z,orders-api,us-east,138.15
2026-01-27T23:37:00Z,orders-api,us-east,147.81
2026-01-27T23:38:00Z,orders-api,us-east,128.95
2026-01-27T23:39:00Z,orders-api,us-east,145.83
2026-01-27T23:40:00Z,orders-api,us-east,132.79
2026-01-27T23:41:00Z,orders-api,us-east,123.37
2026-01-27T23:42:00Z,orders-api,us-east,133.18
2026-01-27T23:43:00Z,orders-api,us-east,137.85
2026-01-27T23:44:00Z,orders-api,us-east,132.5
2026-01-27T23:45:00Z,orders-api,us-east,128.18
2026-01-27T23:46:00Z,orders-api,us-east,149.19
2026-01-27T23:47:00Z,orders-api,us-east,143.18
2026-01-27T23:48:00Z,orders-api,us-east,133.34
2026-01-27T23:49:00Z,orders-api,us-east,142.16
2026-01-27T23:50:00Z,orders-api,us-east,139.65
2026-01-27T23:51:00Z,orders-api,us-east,132.39
2026-01-27T23:52:00Z,orders-api,us-east,144.04
2026-01-27T23:53:00Z,orders-api,us-east,153.06
2026-01-27T23:54:00Z,orders-api,us-east,138.16
2026-01-27T23:55:00Z,orders-api,us-east,129.62
2026-01-27T23:56:00Z,orders-api,us-east,139.36
2026-01-27T23:57:00Z,orders-api,us-east,122.28
2026-01-27T23:58:00Z,orders-api,us-east,128.85
2026-01-27T23:59:00Z,orders-api,us-east,150.93
2026-01-28T00:00:00Z,orders-api,us-east,153.28
2026-01-28T00:01:00Z,orders-api,us-east,140.47
2026-01-28T00:02:00Z,orders-api,us-east,144.98
2026-01-28T00:03:00Z,orders-api,us-east,149.72
2026-01-28T00:04:00Z,orders-api,us-east,164.74
2026-01-28T00:05:00Z,orders-api,us-east,147.3
2026-01-28T00:06:00Z,orders-api,us-east,147.89
2026-01-28T00:07:00Z,orders-api,us-east,134.55
2026-01-28T00:08:00Z,orders-api,us-east,130.22
2026-01-28T00:09:00Z,orders-api,us-east,138.33
2026-01-28T00:10:00Z,orders-api,us-east,130.58
2026-01-28T00:11:00Z,orders-api,us-east,133.45
2026-01-28T00:12:00Z,orders-api,us-east,142.24
2026-01-28T00:13:00Z,orders-api,us-east,141.81
2026-01-28T00:14:00Z,orders-api,us-east,158.3
2026-01-28T00:15:00Z,orders-api,us-east,152.97
2026-01-28T00:16:00Z,orders-api,us-east,143.3
2026-01-28T00:17:00Z,orders-api,us-east,161.05
2026-01-28T00:18:00Z,orders-api,us-east,147.93
2026-01-28T00:19:00Z,orders-api,us-east,136.62
2026-01-28T00:20:00Z,orders-api,us-east,156.52
2026-01-28T00:21:00Z,orders-api,us-east,144.78
2026-01-28T00:22:00Z,orders-api,us-east,136.11
2026-01-28T00:23:00Z,orders-api,us-east,146.83
2026-01-28T00:24:00Z,orders-api,us-east,141.73
