ts,service,region,p50_ms,p95_ms,p99_ms
2026-01-22 19:12:00+00:00,orders-api,us-east,93.9,182.93,363.29
2026-01-22 19:13:00+00:00,orders-api,us-east,105.37,190.78,383.66
2026-01-22 19:14:00+00:00,orders-api,us-east,105.48,221.04,346.91
2026-01-22 19:15:00+00:00,orders-api,us-east,101.72,209.8,337.54
2026-01-22 19:16:00+00:00,orders-api,us-east,103.5,198.91,385.51
2026-01-22 19:17:00+00:00,orders-api,us-east,100.28,213.94,390.85
2026-01-22 19:18:00+00:00,orders-api,us-east,105.66,206.42,373.85
2026-01-22 19:19:00+00:00,orders-api,us-east,107.39,232.2,400.51
2026-01-22 19:20:00+00:00,orders-api,us-east,104.36,208.86,388.82
2026-01-22 19:21:00+00:00,orders-api,us-east,100.13,209.65,371.18
2026-01-22 19:22:00+00:00,orders-api,us-east,101.73,217.89,348.69
2026-01-22 19:23:00+00:00,orders-api,us-east,108.46,210.21,456.54
2026-01-22 19:24:00+00:00,orders-api,us-east,88.5,173.55,337.75
2026-01-22 19:25:00+00:00,orders-api,us-east,95.77,191.84,380.91
2026-01-22 19:26:00+00:00,orders-api,us-east,95.21,203.43,371.04
2026-01-22 19:27:00+00:00,orders-api,us-east,110.27,224.82,392.65
2026-01-22 19:28:00+00:00,orders-api,us-east,94.36,217.39,359.97
2026-01-22 19:29:00+00:00,orders-api,us-east,89.58,200.58,313.88
2026-01-22 19:30:00+00:00,orders-api,us-east,99.24,203.15,373.37
2026-01-22 19:31:00+00:00,orders-api,us-east,101.25,202.39,378.63
2026-01-22 19:32:00+00:00,orders-api,us-east,98.06,202.54,400.95
2026-01-22 19:33:00+00:00,orders-api,us-east,99.74,207.99,382.7
2026-01-22 19:34:00+00:00,orders-api,us-east,101.18,229.58,441.85
2026-01-22 19:35:00+00:00,orders-api,us-east,100.21,224.94,388.01
2026-01-22 19:36:00+00:00,orders-api,us-east,107.62,216.15,400.17
2026-01-22 19:37:00+00:00,orders-api,us-east,94.8,184.35,340.0
2026-01-22 19:38:00+00:00,orders-api,us-east,99.97,210.98,421.65
2026-01-22 19:39:00+00:00,orders-api,us-east,107.13,244.88,388.2
2026-01-22 19:40:00+00:00,orders-api,us-east,101.04,197.34,324.66
2026-01-22 19:41:00+00:00,orders-api,us-east,94.2,185.82,343.8
2026-01-22 19:42:00+00:00,orders-api,us-east,95.07,197.36,409.89
2026-01-22 19:43:00+00:00,orders-api,us-east,100.18,194.84,374.75
2026-01-22 19:44:00+00:00,orders-api,us-east,95.95,205.59,397.26
2026-01-22 19:45:00+00:00,orders-api,us-east,102.74,196.86,374.03
2026-01-22 19:46:00+00:00,orders-api,us-east,99.59,212.21,386.46
2026-01-22 19:47:00+00:00,orders-api,us-east,95.6,216.94,383.86
2026-01-22 19:48:00+00:00,orders-api,us-east,104.25,218.31,408.82
2026-01-22 19:49:00+00:00,orders-api,us-east,99.67,196.71,355.8
2026-01-22 19:50:00+00:00,orders-api,us-east,107.03,211.82,369.6
2026-01-22 19:51:00+00:00,orders-api,us-east,105.49,220.23,367.0
2026-01-22 19:52:00+00:00,orders-api,us-east,99.09,223.38,318.41
2026-01-22 19:53:00+00:00,orders-api,us-east,93.65,201.95,383.46
2026-01-22 19:54:00+00:00,orders-api,us-east,101.84,212.29,368.28
2026-01-22 19:55:00+00:00,orders-api,us-east,103.45,204.28,356.98
2026-01-22 19:56:00+00:00,orders-api,us-east,96.99,215.43,361.04
2026-01-22 19:57:00+00:00,orders-api,us-east,95.67,196.8,342.57
2026-01-22 19:58:00+00:00,orders-api,us-east,97.6,209.49,393.68
2026-01-22 19:59:00+00:00,orders-api,us-east,102.34,199.77,370.42
2026-01-22 20:00:00+00:00,orders-api,us-east,104.17,214.72,378.55
2026-01-22 20:01:00+00:00,orders-api,us-east,99.7,211.07,376.06
2026-01-22 20:02:00+00:00,orders-api,us-east,108.43,221.0,440.29
2026-01-22 20:03:00+00:00,orders-api,us-east,95.16,197.03,384.62
2026-01-22 20:04:00+00:00,orders-api,us-east,110.77,219.35,346.52
2026-01-22 20:05:00+00:00,orders-api,us-east,91.85,183.99,333.29
2026-01-22 20:06:00+00:00,orders-api,us-east,97.08,212.3,367.21
2026-01-22 20:07:00+00:00,orders-api,us-east,92.39,189.97,354.13
2026-01-22 20:08:00+00:00,orders-api,us-east,103.32,218.76,373.27
2026-01-22 20:09:00+00:00,orders-api,us-east,99.53,227.42,441.11
2026-01-22 20:10:00+00:00,orders-api,us-east,108.24,232.64,443.36
2026-01-22 20:11:00+00:00,orders-api,us-east,100.27,208.62,423.14
2026-01-22 20:12:00+00:00,orders-api,us-east,103.07,227.03,426.07
2026-01-22 20:13:00+00:00,orders-api,us-east,92.75,193.04,346.03
2026-01-22 20:14:00+00:00,orders-api,us-east,93.42,192.42,422.95
2026-01-22 20:15:00+00:00,orders-api,us-east,103.37,238.45,400.36
2026-01-22 20:16:00+00:00,orders-api,us-east,106.09,224.72,445.11
2026-01-22 20:17:00+00:00,orders-api,us-east,100.08,209.0,398.83
2026-01-22 20:18:00+00:00,orders-api,us-east,96.26,205.68,406.41
2026-01-22 20:19:00+00:00,orders-api,us-east,112.62,221.81,431.4
2026-01-22 20:20:00+00:00,orders-api,us-east,101.79,229.51,390.04
2026-01-22 20:21:00+00:00,orders-api,us-east,98.23,206.8,387.5
2026-01-22 20:22:00+00:00,orders-api,us-east,103.97,190.79,387.2
2026-01-22 20:23:00+00:00,orders-api,us-east,94.43,198.84,353.26
2026-01-22 20:24:00+00:00,orders-api,us-east,97.43,211.86,420.73
2026-01-22 20:25:00+00:00,orders-api,us-east,98.72,214.04,382.73
2026-01-22 20:26:00+00:00,orders-api,us-east,109.81,245.05,471.39
2026-01-22 20:27:00+00:00,orders-api,us-east,99.88,213.76,394.29
2026-01-22 20:28:00+00:00,orders-api,us-east,86.81,174.42,338.16
2026-01-22 20:29:00+00:00,orders-api,us-east,107.32,240.44,387.89
2026-01-22 20:30:00+00:00,orders-api,us-east,102.41,222.87,415.23
2026-01-22 20:31:00+00:00,orders-api,us-east,110.09,238.74,397.93
2026-01-22 20:32:00+00:00,orders-api,us-east,101.52,213.66,413.1
2026-01-22 20:33:00+00:00,orders-api,us-east,101.65,204.77,372.48
2026-01-22 20:34:00+00:00,orders-api,us-east,94.07,186.62,379.09
2026-01-22 20:35:00+00:00,orders-api,us-east,105.03,226.69,440.7
2026-01-22 20:36:00+00:00,orders-api,us-east,107.09,202.93,427.46
2026-01-22 20:37:00+00:00,orders-api,us-east,92.77,178.53,382.19
2026-01-22 20:38:00+00:00,orders-api,us-east,95.03,231.71,381.19
2026-01-22 20:39:00+00:00,orders-api,us-east,94.95,186.15,338.58
2026-01-22 20:40:00+00:00,orders-api,us-east,112.94,229.8,418.34
2026-01-22 20:41:00+00:00,orders-api,us-east,104.79,234.97,395.27
2026-01-22 20:42:00+00:00,orders-api,us-east,98.6,220.67,378.75
2026-01-22 20:43:00+00:00,orders-api,us-east,106.06,224.36,386.08
2026-01-22 20:44:00+00:00,orders-api,us-east,93.62,178.34,368.22
2026-01-22 20:45:00+00:00,orders-api,us-east,99.41,231.29,402.51
2026-01-22 20:46:00+00:00,orders-api,us-east,103.55,222.88,412.6
2026-01-22 20:47:00+00:00,orders-api,us-east,99.05,179.84,364.64
2026-01-22 20:48:00+00:00,orders-api,us-east,98.61,221.07,351.17
2026-01-22 20:49:00+00:00,orders-api,us-east,103.49,223.04,389.09
2026-01-22 20:50:00+00:00,orders-api,us-east,105.9,226.09,428.61
2026-01-22 20:51:00+00:00,orders-api,us-east,94.48,205.59,360.86
2026-01-22 20:52:00+00:00,orders-api,us-east,100.49,237.4,418.32
2026-01-22 20:53:00+00:00,orders-api,us-east,95.54,187.47,376.39
2026-01-22 20:54:00+00:00,orders-api,us-east,103.73,222.58,376.44
2026-01-22 20:55:00+00:00,orders-api,us-east,100.91,207.3,412.98
2026-01-22 20:56:00+00:00,orders-api,us-east,103.18,214.76,432.52
2026-01-22 20:57:00+00:00,orders-api,us-east,96.18,200.82,391.65
2026-01-22 20:58:00+00:00,orders-api,us-east,100.46,220.98,386.3
2026-01-22 20:59:00+00:00,orders-api,us-east,106.86,217.52,429.15
2026-01-22 21:00:00+00:00,orders-api,us-east,97.44,208.61,410.0
2026-01-22 21:01:00+00:00,orders-api,us-east,103.04,189.13,394.43
2026-01-22 21:02:00+00:00,orders-api,us-east,96.9,198.53,385.96
2026-01-22 21:03:00+00:00,orders-api,us-east,92.73,199.98,355.58
2026-01-22 21:04:00+00:00,orders-api,us-east,107.2,234.32,413.83
2026-01-22 21:05:00+00:00,orders-api,us-east,106.85,202.34,387.26
2026-01-22 21:06:00+00:00,orders-api,us-east,98.52,211.88,420.34
2026-01-22 21:07:00+00:00,orders-api,us-east,110.19,211.55,427.0
2026-01-22 21:08:00+00:00,orders-api,us-east,95.44,198.61,324.17
2026-01-22 21:09:00+00:00,orders-api,us-east,95.82,191.02,360.29
2026-01-22 21:10:00+00:00,orders-api,us-east,105.48,206.74,353.0
2026-01-22 21:11:00+00:00,orders-api,us-east,97.79,208.63,417.13
2026-01-22 21:12:00+00:00,orders-api,us-east,95.77,193.42,343.86
2026-01-22 21:13:00+00:00,orders-api,us-east,98.08,223.66,375.58
2026-01-22 21:14:00+00:00,orders-api,us-east,101.67,203.89,400.31
2026-01-22 21:15:00+00:00,orders-api,us-east,106.41,209.88,382.21
2026-01-22 21:16:00+00:00,orders-api,us-east,112.47,261.56,416.7
2026-01-22 21:17:00+00:00,orders-api,us-east,107.88,226.97,385.6
2026-01-22 21:18:00+00:00,orders-api,us-east,96.57,195.78,397.78
2026-01-22 21:19:00+00:00,orders-api,us-east,116.79,231.54,431.45
2026-01-22 21:20:00+00:00,orders-api,us-east,98.48,192.04,381.48
2026-01-22 21:21:00+00:00,orders-api,us-east,101.96,230.31,388.23
2026-01-22 21:22:00+00:00,orders-api,us-east,97.49,230.25,356.51
2026-01-22 21:23:00+00:00,orders-api,us-east,99.63,211.42,368.16
2026-01-22 21:24:00+00:00,orders-api,us-east,102.1,225.9,400.81
2026-01-22 21:25:00+00:00,orders-api,us-east,102.96,214.79,391.11
2026-01-22 21:26:00+00:00,orders-api,us-east,107.89,238.24,419.28
2026-01-22 21:27:00+00:00,orders-api,us-east,95.83,225.93,394.66
2026-01-22 21:28:00+00:00,orders-api,us-east,109.35,239.4,420.33
2026-01-22 21:29:00+00:00,orders-api,us-east,96.1,207.29,363.42
2026-01-22 21:30:00+00:00,orders-api,us-east,107.49,234.72,397.43
2026-01-22 21:31:00+00:00,orders-api,us-east,100.09,206.91,363.55
2026-01-22 21:32:00+00:00,orders-api,us-east,96.49,184.19,337.34
2026-01-22 21:33:00+00:00,orders-api,us-east,97.12,218.89,318.09
2026-01-22 21:34:00+00:00,orders-api,us-east,104.57,202.26,397.51
2026-01-22 21:35:00+00:00,orders-api,us-east,92.02,191.48,387.11
2026-01-22 21:36:00+00:00,orders-api,us-east,98.46,198.96,367.27
2026-01-22 21:37:00+00:00,orders-api,us-east,97.82,201.83,356.08
2026-01-22 21:38:00+00:00,orders-api,us-east,99.04,225.22,381.09
2026-01-22 21:39:00+00:00,orders-api,us-east,108.16,244.68,433.75
2026-01-22 21:40:00+00:00,orders-api,us-east,99.92,205.74,384.53
2026-01-22 21:41:00+00:00,orders-api,us-east,95.17,185.83,411.18
2026-01-22 21:42:00+00:00,orders-api,us-east,97.02,187.97,399.23
2026-01-22 21:43:00+00:00,orders-api,us-east,109.5,224.49,428.95
2026-01-22 21:44:00+00:00,orders-api,us-east,99.62,204.66,400.82
2026-01-22 21:45:00+00:00,orders-api,us-east,97.73,203.6,393.43
2026-01-22 21:46:00+00:00,orders-api,us-east,96.36,199.16,403.72
2026-01-22 21:47:00+00:00,orders-api,us-east,102.53,220.47,397.65
2026-01-22 21:48:00+00:00,orders-api,us-east,104.98,231.92,370.33
2026-01-22 21:49:00+00:00,orders-api,us-east,98.47,219.99,324.7
2026-01-22 21:50:00+00:00,orders-api,us-east,100.89,210.03,431.14
2026-01-22 21:51:00+00:00,orders-api,us-east,99.98,224.88,325.53
2026-01-22 21:52:00+00:00,orders-api,us-east,95.46,210.63,389.45
2026-01-22 21:53:00+00:00,orders-api,us-east,106.77,229.75,393.16
2026-01-22 21:54:00+00:00,orders-api,us-east,100.21,222.63,391.7
2026-01-22 21:55:00+00:00,orders-api,us-east,97.41,227.35,370.27
2026-01-22 21:56:00+00:00,orders-api,us-east,92.91,182.06,351.29
2026-01-22 21:57:00+00:00,orders-api,us-east,99.66,224.79,366.64
2026-01-22 21:58:00+00:00,orders-api,us-east,94.82,217.42,356.5
2026-01-22 21:59:00+00:00,orders-api,us-east,107.9,243.9,406.73
2026-01-22 22:00:00+00:00,orders-api,us-east,101.13,223.93,375.0
2026-01-22 22:01:00+00:00,orders-api,us-east,101.81,226.49,407.96
2026-01-22 22:02:00+00:00,orders-api,us-east,100.18,226.18,366.17
2026-01-22 22:03:00+00:00,orders-api,us-east,102.6,217.43,411.73
2026-01-22 22:04:00+00:00,orders-api,us-east,105.97,241.44,367.93
2026-01-22 22:05:00+00:00,orders-api,us-east,109.45,227.81,403.53
2026-01-22 22:06:00+00:00,orders-api,us-east,111.36,242.71,411.73
2026-01-22 22:07:00+00:00,orders-api,us-east,99.41,227.52,364.11
2026-01-22 22:08:00+00:00,orders-api,us-east,97.52,205.4,384.28
2026-01-22 22:09:00+00:00,orders-api,us-east,99.93,214.4,353.3
2026-01-22 22:10:00+00:00,orders-api,us-east,109.09,255.7,448.36
2026-01-22 22:11:00+00:00,orders-api,us-east,100.6,204.84,357.63
2026-01-22 22:12:00+00:00,orders-api,us-east,109.15,226.54,464.49
2026-01-22 22:13:00+00:00,orders-api,us-east,100.67,209.41,358.46
2026-01-22 22:14:00+00:00,orders-api,us-east,110.61,222.66,432.12
2026-01-22 22:15:00+00:00,orders-api,us-east,105.66,212.8,404.77
2026-01-22 22:16:00+00:00,orders-api,us-east,95.1,222.0,372.98
2026-01-22 22:17:00+00:00,orders-api,us-east,100.76,204.42,372.6
2026-01-22 22:18:00+00:00,orders-api,us-east,104.14,212.76,412.25
2026-01-22 22:19:00+00:00,orders-api,us-east,88.4,188.41,380.32
2026-01-22 22:20:00+00:00,orders-api,us-east,108.52,201.29,399.71
2026-01-22 22:21:00+00:00,orders-api,us-east,94.73,205.86,357.4
2026-01-22 22:22:00+00:00,orders-api,us-east,105.29,198.17,390.94
2026-01-22 22:23:00+00:00,orders-api,us-east,102.26,218.17,387.38
2026-01-22 22:24:00+00:00,orders-api,us-east,88.98,181.51,382.19
2026-01-22 22:25:00+00:00,orders-api,us-east,97.95,235.9,405.2
2026-01-22 22:26:00+00:00,orders-api,us-east,105.15,192.02,368.69
2026-01-22 22:27:00+00:00,orders-api,us-east,111.37,226.58,473.24
2026-01-22 22:28:00+00:00,orders-api,us-east,106.42,220.41,401.18
2026-01-22 22:29:00+00:00,orders-api,us-east,106.61,224.33,433.51
2026-01-22 22:30:00+00:00,orders-api,us-east,94.99,188.55,354.24
2026-01-22 22:31:00+00:00,orders-api,us-east,101.41,197.83,376.92
2026-01-22 22:32:00+00:00,orders-api,us-east,113.02,256.65,428.23
2026-01-22 22:33:00+00:00,orders-api,us-east,108.85,239.43,424.62
2026-01-22 22:34:00+00:00,orders-api,us-east,100.1,196.36,342.86
2026-01-22 22:35:00+00:00,orders-api,us-east,103.94,212.44,385.44
2026-01-22 22:36:00+00:00,orders-api,us-east,107.55,238.44,376.81
2026-01-22 22:37:00+00:00,orders-api,us-east,109.7,218.25,411.79
2026-01-22 22:38:00+00:00,orders-api,us-east,100.48,197.87,356.83
2026-01-22 22:39:00+00:00,orders-api,us-east,99.89,202.18,393.46
2026-01-22 22:40:00+00:00,orders-api,us-east,108.61,202.86,379.29
2026-01-22 22:41:00+00:00,orders-api,us-east,108.18,235.9,406.44
2026-01-22 22:42:00+00:00,orders-api,us-east,101.78,212.37,401.13
2026-01-22 22:43:00+00:00,orders-api,us-east,93.37,209.06,375.47
2026-01-22 22:44:00+00:00,orders-api,us-east,102.98,229.41,408.24
2026-01-22 22:45:00+00:00,orders-api,us-east,95.65,183.41,367.29
2026-01-22 22:46:00+00:00,orders-api,us-east,114.01,232.29,454.47
2026-01-22 22:47:00+00:00,orders-api,us-east,97.51,206.7,323.06
2026-01-22 22:48:00+00:00,orders-api,us-east,101.11,216.14,407.36
2026-01-22 22:49:00+00:00,orders-api,us-east,99.91,205.01,410.72
2026-01-22 22:50:00+00:00,orders-api,us-east,100.6,203.07,397.82
2026-01-22 22:51:00+00:00,orders-api,us-east,106.11,192.1,333.52
2026-01-22 22:52:00+00:00,orders-api,us-east,106.11,226.75,423.4
2026-01-22 22:53:00+00:00,orders-api,us-east,107.39,224.19,380.35
2026-01-22 22:54:00+00:00,orders-api,us-east,110.76,215.14,391.48
2026-01-22 22:55:00+00:00,orders-api,us-east,103.87,204.69,353.25
2026-01-22 22:56:00+00:00,orders-api,us-east,99.03,206.71,370.34
2026-01-22 22:57:00+00:00,orders-api,us-east,100.85,202.29,335.4
2026-01-22 22:58:00+00:00,orders-api,us-east,104.86,219.19,410.33
2026-01-22 22:59:00+00:00,orders-api,us-east,109.34,232.01,415.81
2026-01-22 23:00:00+00:00,orders-api,us-east,97.78,230.7,366.38
2026-01-22 23:01:00+00:00,orders-api,us-east,102.77,221.75,390.23
2026-01-22 23:02:00+00:00,orders-api,us-east,102.68,216.99,368.93
2026-01-22 23:03:00+00:00,orders-api,us-east,100.44,208.84,398.89
2026-01-22 23:04:00+00:00,orders-api,us-east,104.91,221.26,368.1
2026-01-22 23:05:00+00:00,orders-api,us-east,106.28,208.13,417.91
2026-01-22 23:06:00+00:00,orders-api,us-east,116.93,250.68,448.2
2026-01-22 23:07:00+00:00,orders-api,us-east,114.42,233.85,442.75
2026-01-22 23:08:00+00:00,orders-api,us-east,104.24,218.6,373.24
2026-01-22 23:09:00+00:00,orders-api,us-east,99.73,203.02,416.26
2026-01-22 23:10:00+00:00,orders-api,us-east,106.54,216.96,413.39
2026-01-22 23:11:00+00:00,orders-api,us-east,92.64,184.59,327.41
2026-01-22 23:12:00+00:00,orders-api,us-east,107.03,228.74,469.97
2026-01-22 23:13:00+00:00,orders-api,us-east,103.57,236.5,428.5
2026-01-22 23:14:00+00:00,orders-api,us-east,104.99,223.34,415.45
2026-01-22 23:15:00+00:00,orders-api,us-east,100.91,202.66,361.45
2026-01-22 23:16:00+00:00,orders-api,us-east,111.8,218.94,457.52
2026-01-22 23:17:00+00:00,orders-api,us-east,95.36,194.8,366.83
2026-01-22 23:18:00+00:00,orders-api,us-east,106.61,232.24,408.58
2026-01-22 23:19:00+00:00,orders-api,us-east,108.16,229.19,413.46
2026-01-22 23:20:00+00:00,orders-api,us-east,108.76,218.58,433.01
2026-01-22 23:21:00+00:00,orders-api,us-east,99.61,205.45,422.22
2026-01-22 23:22:00+00:00,orders-api,us-east,103.03,219.38,386.72
2026-01-22 23:23:00+00:00,orders-api,us-east,95.56,192.23,394.62
2026-01-22 23:24:00+00:00,orders-api,us-east,106.78,224.81,472.04
2026-01-22 23:25:00+00:00,orders-api,us-east,104.69,214.67,370.48
2026-01-22 23:26:00+00:00,orders-api,us-east,99.9,204.21,409.8
2026-01-22 23:27:00+00:00,orders-api,us-east,102.76,223.65,403.65
2026-01-22 23:28:00+00:00,orders-api,us-east,110.02,235.74,448.66
2026-01-22 23:29:00+00:00,orders-api,us-east,98.5,207.92,357.09
2026-01-22 23:30:00+00:00,orders-api,us-east,102.22,224.62,421.94
2026-01-22 23:31:00+00:00,orders-api,us-east,96.62,181.54,353.83
2026-01-22 23:32:00+00:00,orders-api,us-east,102.81,205.66,369.99
2026-01-22 23:33:00+00:00,orders-api,us-east,105.27,226.55,393.1
2026-01-22 23:34:00+00:00,orders-api,us-east,113.36,241.84,410.84
2026-01-22 23:35:00+00:00,orders-api,us-east,104.6,227.91,405.79
2026-01-22 23:36:00+00:00,orders-api,us-east,114.79,267.34,394.59
2026-01-22 23:37:00+00:00,orders-api,us-east,110.82,222.41,391.68
2026-01-22 23:38:00+00:00,orders-api,us-east,102.94,194.05,351.6
2026-01-22 23:39:00+00:00,orders-api,us-east,112.63,238.52,431.16
2026-01-22 23:40:00+00:00,orders-api,us-east,107.8,233.68,401.48
2026-01-22 23:41:00+00:00,orders-api,us-east,115.88,227.97,461.42
2026-01-22 23:42:00+00:00,orders-api,us-east,110.53,234.3,453.82
2026-01-22 23:43:00+00:00,orders-api,us-east,106.15,225.92,361.23
2026-01-22 23:44:00+00:00,orders-api,us-east,104.24,220.52,388.75
2026-01-22 23:45:00+00:00,orders-api,us-east,92.05,203.74,368.38
2026-01-22 23:46:00+00:00,orders-api,us-east,106.54,225.71,398.62
2026-01-22 23:47:00+00:00,orders-api,us-east,101.24,219.86,410.65
2026-01-22 23:48:00+00:00,orders-api,us-east,104.12,206.98,371.62
2026-01-22 23:49:00+00:00,orders-api,us-east,103.14,206.43,380.39
2026-01-22 23:50:00+00:00,orders-api,us-east,108.34,228.68,433.42
2026-01-22 23:51:00+00:00,orders-api,us-east,96.87,199.44,287.1
2026-01-22 23:52:00+00:00,orders-api,us-east,108.92,254.74,415.74
2026-01-22 23:53:00+00:00,orders-api,us-east,111.36,228.38,455.34
2026-01-22 23:54:00+00:00,orders-api,us-east,103.03,236.82,407.77
2026-01-22 23:55:00+00:00,orders-api,us-east,102.94,234.7,404.67
